Calendar Year,Source,source_code,Machine Line,Artificial machine line,Machine Line Code,Brand,Brand Code
2024,HARGROVE,HVE,GPE Excavators Wheeled,GEW,GEW,Cukurova,CUK
2024,HARGROVE,HVE,Compact Excavators,CEX,CEX,Cukurova,CUK
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,GEC,Cukurova,CUK
2024,HARGROVE,HVE,Wheel Loaders,WLO,WLO,Cukurova,CUK
2024,HARGROVE,HVE,GPE Excavators Wheeled,GEW,GEW,Deere,JOH
2024,HARGROVE,HVE,Articulated Haulers,Articulated Haulers,330,Deere,JOH
2024,HARGROVE,HVE,Compact Excavators,CEX,CEX,Deere,JOH
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,GEC,Deere,JOH
2024,HARGROVE,HVE,Rigid Haulers,Rigid Haulers,340,Deere,JOH
2024,HARGROVE,HVE,Motor Graders,Motor Graders,380,Deere,JOH
2024,HARGROVE,HVE,Wheel Loaders,WLO,WLO,Deere,JOH
2024,HARGROVE,HVE,GPE Excavators Wheeled,GEW,GEW,Develon,DOO
2024,HARGROVE,HVE,Articulated Haulers,Articulated Haulers,330,Develon,DOO
2024,HARGROVE,HVE,Compact Excavators,CEX,CEX,Develon,DOO
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,GEC,Develon,DOO
2024,HARGROVE,HVE,Motor Graders,Motor Graders,380,Develon,DOO
2024,HARGROVE,HVE,Wheel Loaders,WLO,WLO,Develon,DOO
2024,HARGROVE,HVE,Compact Excavators,CEX,CEX,Eurocomach,EUR
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,GEC,Eurocomach,EUR
2024,HARGROVE,HVE,Compact Excavators,CEX,CEX,Foton Lovol,FOL
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,GEC,Foton Lovol,FOL
2024,HARGROVE,HVE,Wheel Loaders,WLO,WLO,Foton Lovol,FOL
2024,HARGROVE,HVE,Compact Excavators,CEX,CEX,Gehl,GEH
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,GEC,Gehl,GEH
2024,HARGROVE,HVE,Wheel Loaders,WLO,WLO,Gehl,GEH
2024,HARGROVE,HVE,GPE Excavators Wheeled,GEW,GEW,Gradall,GRA
2024,HARGROVE,HVE,Compact Excavators,CEX,CEX,Gradall,GRA
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,GEC,Gradall,GRA
2024,HARGROVE,HVE,GPE Excavators Wheeled,GEW,GEW,Hidromek,HID
2024,HARGROVE,HVE,Compact Excavators,CEX,CEX,Hidromek,HID
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,GEC,Hidromek,HID
2024,HARGROVE,HVE,Motor Graders,Motor Graders,380,Hidromek,HID
2024,HARGROVE,HVE,Wheel Loaders,WLO,WLO,Hidromek,HID
2024,HARGROVE,HVE,GPE Excavators Wheeled,GEW,GEW,Hitachi,HIT
2024,HARGROVE,HVE,Compact Excavators,CEX,CEX,Hitachi,HIT
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,GEC,Hitachi,HIT
2024,HARGROVE,HVE,Rigid Haulers,Rigid Haulers,340,Hitachi,HIT
2024,HARGROVE,HVE,Wheel Loaders,WLO,WLO,Hitachi,HIT
2024,HARGROVE,HVE,GPE Excavators Wheeled,GEW,GEW,Hyundai,HYU
2024,HARGROVE,HVE,Articulated Haulers,Articulated Haulers,330,Hyundai,HYU
2024,HARGROVE,HVE,Compact Excavators,CEX,CEX,Hyundai,HYU
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,GEC,Hyundai,HYU
2024,HARGROVE,HVE,Motor Graders,Motor Graders,380,Hyundai,HYU
2024,HARGROVE,HVE,Wheel Loaders,WLO,WLO,Hyundai,HYU
2024,HARGROVE,HVE,GPE Excavators Wheeled,GEW,GEW,JCB,JCB
2024,HARGROVE,HVE,Articulated Haulers,Articulated Haulers,330,JCB,JCB
2024,HARGROVE,HVE,Compact Excavators,CEX,CEX,JCB,JCB
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,GEC,JCB,JCB
2024,HARGROVE,HVE,Wheel Loaders,WLO,WLO,JCB,JCB
2024,HARGROVE,HVE,Compact Excavators,CEX,CEX,Kato Imer,KAT
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,GEC,Kato Imer,KAT
2024,HARGROVE,HVE,GPE Excavators Wheeled,GEW,GEW,Kobelco,KOB
2024,HARGROVE,HVE,Compact Excavators,CEX,CEX,Kobelco,KOB
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,GEC,Kobelco,KOB
2024,HARGROVE,HVE,Wheel Loaders,WLO,WLO,Kobelco,KOB
2024,HARGROVE,HVE,GPE Excavators Wheeled,GEW,GEW,Komatsu,KOM
2024,HARGROVE,HVE,Articulated Haulers,Articulated Haulers,330,Komatsu,KOM
2024,HARGROVE,HVE,Compact Excavators,CEX,CEX,Komatsu,KOM
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,GEC,Komatsu,KOM
2024,HARGROVE,HVE,Rigid Haulers,Rigid Haulers,340,Komatsu,KOM
2024,HARGROVE,HVE,Motor Graders,Motor Graders,380,Komatsu,KOM
2024,HARGROVE,HVE,Wheel Loaders,WLO,WLO,Komatsu,KOM
2024,HARGROVE,HVE,Compact Excavators,CEX,CEX,Komatsu Mining,KMM
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,GEC,Komatsu Mining,KMM
2024,HARGROVE,HVE,Wheel Loaders,WLO,WLO,Kramer,KRA
2024,HARGROVE,HVE,Compact Excavators,CEX,CEX,Kubota,KUB
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,GEC,Kubota,KUB
2024,HARGROVE,HVE,Wheel Loaders,WLO,WLO,Kubota,KUB
2024,HARGROVE,HVE,GPE Excavators Wheeled,GEW,GEW,Liebherr,LIE
2024,HARGROVE,HVE,Articulated Haulers,Articulated Haulers,330,Liebherr,LIE
